FieldName,PrimaryName,Status,Description
3BK1,3BK1,base,
3BK2,3BK2,base,
3BK3,3BK3,base,
3IKR1,3IKR1,base,
RO1_800_S,3IKR1,alias,
3IKR2,3IKR2,base,
RO2_800_S,3IKR2,alias,
3IKR3,3IKR3,base,
RO3_800_S,3IKR3,alias,
6BK1,6BK1,base,
6BK2,6BK2,base,
6BK3,6BK3,base,
6BK4,6BK4,base,
6BK5,6BK5,base,
6BK6,6BK6,base,
bk6,6BK6,alias,
BK1,BK1,base,
5БК_R1,BK1,alias,
БК1,BK1,alias,
BK5_RK1,BK1,alias,
BK2,BK2,base,
5БК_R2,BK2,alias,
БК2,BK2,alias,
BK5_RK2,BK2,alias,
BK3,BK3,base,
5БК_R3,BK3,alias,
БК3,BK3,alias,
BK5_RK3,BK3,alias,
BK4,BK4,base,
5БК_R4,BK4,alias,
БК4,BK4,alias,
BK5_RK4,BK4,alias,
BK5,BK5,base,
5БК_R5,BK5,alias,
БК5,BK5,alias,
BK5_RK5,BK5,alias,
BMK,BMK,base,
CALI,CALI,base,
ПФ_Dsr,CALI,alias,
D,CALI,alias,
Dср,CALI,alias,
DSR,CALI,alias,
DS1,DS1,base,
D1,DS1,alias,
DS,DS1,alias,
DSR1 ¬ :2,DS1,alias,
DS2,DS2,base,
D2,DS2,alias,
DSR2 ¬ :2,DS2,alias,
DTp,DTp,base,
GMZ,GMZ,base,
MZG,GMZ,alias,
GR,GR,base,
2ННК-Т_ГК,GR,alias,
GK,GR,alias,
GZ1,GZ1,base,
A0*4M0*1N,GZ1,alias,
gz01,GZ1,alias,
GZ1(A0*4M0*1N)_K1,GZ1,alias,
ZOND A0*4M0*1N,GZ1,alias,
GZ2,GZ2,base,
A1*0M0*1N,GZ2,alias,
gz02,GZ2,alias,
GZ2(A1*0M0*1N)_K1,GZ2,alias,
ZOND A1*0M0*1N,GZ2,alias,
GZ3,GZ3,base,
A2*0M0*5N,GZ3,alias,
gz03,GZ3,alias,
GZ3(A2*0M0*5N)_K1,GZ3,alias,
ZOND A2*0M0*5N,GZ3,alias,
GZ4,GZ4,base,
A4*0M0*5N,GZ4,alias,
gz04,GZ4,alias,
GZ4(A4*0M0*5N)_K1,GZ4,alias,
ZOND A4*0M0*5N,GZ4,alias,
GZ5,GZ5,base,
A8*0M1*0N,GZ5,alias,
gz05,GZ5,alias,
GZ5(A8*0M1*0N)_K1,GZ5,alias,
